Year,State,therapy_near_me,no_friends,kill_myself,self_harm,feeling_alone,suicide,sin,hate_myself,divorce,fitting_in,kill_yourself,jesus,bullying,lonely,guilty,feeling_sad,suicide_hotline,i_hate_my_parents,hope,cant_sleep,eating_disorder,therapy,faith,abusive_parents,i_want_to_die,coping_with_stress,depression,cutting,school_stress,hell
2005,Montana,55.0,75.0,0.0,0.0,0.0,88,56.0,32.0,76,100.0,49.0,72,69.0,67,13.0,0.0,36.0,0.0,34,0.0,86.0,82,63,0.0,85.0,0.0,87,97,0.0,68
2005,Nebraska,0,26.0,0.0,0.0,0.0,81,67.0,22.0,88,45.0,22.0,75,61.0,68,49.0,0.0,61.0,0.0,47,0.0,78.0,76,74,0.0,0.0,0.0,74,70,51.0,59
2005,Nevada,20.0,22.0,0.0,38.0,100.0,87,100.0,30.0,98,46.0,43.0,55,9.0,62,81.0,100.0,0.0,0.0,35,0.0,44.0,54,58,0.0,16.0,0.0,52,78,0.0,63
2005,New Hampshire,0,47.0,70.0,0.0,0.0,82,67.0,20.0,74,59.0,45.0,53,56.0,82,63.0,0.0,24.0,0.0,46,0.0,100.0,69,59,0.0,0.0,0.0,71,88,0.0,65
2005,New Jersey,0,31.0,31.0,13.0,6.0,69,65.0,20.0,64,27.0,55.0,53,65.0,72,65.0,0.0,6.0,0.0,58,0.0,62.0,64,50,0.0,17.0,9.0,57,65,49.0,68
2005,New Mexico,100.0,0.0,64.0,0.0,0.0,97,67.0,0.0,84,0.0,79.0,59,45.0,74,71.0,94.0,0.0,0.0,40,0.0,61.0,86,55,0.0,16.0,0.0,63,75,0.0,67
2005,New York,0,28.0,45.0,9.0,7.0,80,75.0,24.0,68,17.0,40.0,62,47.0,85,65.0,7.0,16.0,47.0,47,0.0,63.0,70,52,0.0,19.0,9.0,66,57,35.0,58
2005,North Carolina,0,24.0,22.0,0.0,9.0,65,63.0,36.0,78,18.0,29.0,70,38.0,64,55.0,10.0,6.0,0.0,68,0.0,63.0,62,72,0.0,21.0,9.0,62,65,32.0,68
2005,North Dakota,85.0,0.0,0.0,0.0,0.0,95,73.0,0.0,71,0.0,100.0,60,69.0,62,39.0,0.0,51.0,0.0,59,0.0,0.0,100,78,0.0,0.0,0.0,92,82,0.0,79
2005,Ohio,7.0,23.0,27.0,22.0,5.0,72,57.0,26.0,72,31.0,41.0,71,54.0,60,57.0,16.0,15.0,97.0,44,100.0,66.0,64,64,8.0,15.0,13.0,63,77,36.0,70
2005,Oklahoma,0,27.0,41.0,0.0,0.0,76,67.0,11.0,100,83.0,28.0,85,46.0,56,61.0,0.0,0.0,0.0,45,0.0,42.0,62,80,0.0,15.0,0.0,59,82,0.0,79
2005,Oregon,7.0,28.0,0.0,36.0,0.0,95,71.0,12.0,71,25.0,25.0,66,28.0,78,59.0,0.0,20.0,0.0,41,0.0,59.0,70,57,11.0,14.0,12.0,70,89,44.0,71
2005,Pennsylvania,0,37.0,30.0,21.0,9.0,74,63.0,28.0,63,34.0,51.0,72,56.0,69,56.0,0.0,15.0,97.0,64,88.0,76.0,69,59,22.0,16.0,21.0,69,70,30.0,67
2005,Rhode Island,0,0.0,0.0,45.0,0.0,92,67.0,28.0,60,45.0,70.0,68,63.0,89,58.0,0.0,0.0,0.0,100,0.0,82.0,69,61,0.0,24.0,0.0,76,75,63.0,84
2005,South Carolina,0,14.0,75.0,26.0,0.0,70,61.0,20.0,85,25.0,35.0,89,22.0,58,45.0,0.0,0.0,0.0,49,0.0,71.0,61,79,0.0,0.0,17.0,62,68,41.0,65
2005,South Dakota,0,0.0,0.0,92.0,0.0,100,64.0,0.0,77,0.0,0.0,71,75.0,77,63.0,0.0,47.0,0.0,54,0.0,61.0,72,85,0.0,0.0,0.0,97,95,0.0,87
2005,Tennessee,0,46.0,60.0,0.0,24.0,77,65.0,26.0,91,31.0,36.0,83,39.0,63,61.0,0.0,20.0,0.0,62,0.0,63.0,65,82,0.0,7.0,20.0,65,76,29.0,63
2005,Texas,0,22.0,22.0,14.0,12.0,75,72.0,25.0,91,27.0,29.0,74,29.0,61,62.0,6.0,16.0,58.0,44,0.0,48.0,61,63,4.0,19.0,3.0,58,64,19.0,58
2005,Utah,0,45.0,33.0,0.0,99.0,77,67.0,23.0,92,24.0,64.0,95,33.0,69,55.0,0.0,0.0,0.0,38,0.0,80.0,76,66,0.0,21.0,0.0,70,72,68.0,69
2005,Vermont,0,61.0,0.0,0.0,0.0,81,66.0,0.0,59,0.0,63.0,55,60.0,87,37.0,0.0,29.0,0.0,49,0.0,91.0,75,69,0.0,0.0,0.0,79,81,0.0,74
2005,Virginia,0,32.0,28.0,14.0,0.0,65,64.0,24.0,74,13.0,41.0,59,42.0,66,66.0,20.0,10.0,81.0,42,0.0,52.0,57,58,15.0,17.0,5.0,55,54,32.0,59
2005,Washington,0,14.0,36.0,14.0,6.0,75,69.0,13.0,70,26.0,32.0,57,32.0,76,59.0,12.0,6.0,0.0,38,0.0,64.0,70,55,10.0,32.0,9.0,58,79,24.0,63
2005,West Virginia,0,0.0,0.0,0.0,0.0,95,71.0,100.0,75,0.0,0.0,92,61.0,65,59.0,0.0,0.0,0.0,58,0.0,25.0,85,79,0.0,0.0,100.0,77,65,0.0,100
2005,Wisconsin,0,27.0,29.0,35.0,33.0,81,58.0,31.0,78,13.0,39.0,58,64.0,71,51.0,0.0,6.0,0.0,48,0.0,62.0,65,65,0.0,11.0,14.0,73,84,0.0,66
2005,Wyoming,0,100.0,0.0,0.0,0.0,98,66.0,0.0,86,0.0,83.0,63,0.0,83,64.0,0.0,0.0,0.0,35,0.0,87.0,94,83,0.0,0.0,0.0,100,89,0.0,76
2006,Alabama,0,25.0,30.0,18.0,46.0,62,49.0,63.0,95,20.0,29.0,97,24.0,53,59.0,0.0,11.0,0.0,42,0.0,38.0,80,86,90.0,35.0,0.0,64,73,75.0,74
2006,Alaska,0,36.0,0.0,0.0,0.0,80,36.0,0.0,83,0.0,30.0,60,51.0,93,24.0,0.0,0.0,0.0,53,0.0,21.0,78,50,0.0,0.0,0.0,67,72,0.0,86
2006,Arizona,0,45.0,16.0,17.0,0.0,67,61.0,39.0,79,18.0,35.0,61,31.0,59,57.0,0.0,11.0,0.0,32,100.0,56.0,71,50,0.0,22.0,45.0,51,58,19.0,69
2006,Arkansas,0,21.0,100.0,54.0,0.0,68,59.0,59.0,95,0.0,0.0,92,30.0,62,69.0,0.0,0.0,0.0,57,0.0,53.0,76,74,0.0,97.0,0.0,74,71,0.0,77
2006,California,0,35.0,20.0,14.0,15.0,74,61.0,34.0,71,22.0,26.0,65,23.0,77,63.0,5.0,20.0,32.0,40,0.0,41.0,71,48,7.0,29.0,13.0,58,57,17.0,66
